x;Curve10;Curve5;Curve0;Curve0l;Curve5l;Curve10l
0,015;-2,3195;0,5464;1,0101;-0,0054;1,1366;0,8701
0,052;-2,3347;0,5477;0,9944;-0,009;1,1098;1,0286
0,124;-2,3617;0,5519;0,9663;-0,0151;1,0615;1,0449
0,18;-2,3704;0,5536;0,9571;-0,017;1,0458;1,0475
0,367;-2,399;0,5585;0,9266;-0,0229;0,9941;1,0516
1,125;-2,5187;0,5078;0,7798;-0,0439;0,7866;1,0353
1,217;-2,5338;0,477;0,7564;-0,0462;0,7623;1,0315
1,307;-2,5489;0,4335;0,7307;-0,0484;0,7386;1,0275
1,602;-2,5998;0,1908;0,623;-0,0556;0,6635;1,0132
1,669;-2,6117;0,1234;0,5918;-0,0572;0,647;1,0097
1,678;-2,6134;0,1139;0,5871;-0,0574;0,6447;1,0092
1,859;-2,6457;-0,0631;0,4848;-0,0618;0,6013;0,9994
2,329;-2,7171;-0,4872;0,2307;-0,0735;0,4977;0,9723
2,398;-2,7249;-0,5454;0,202;-0,0753;0,4838;0,9682
3,094;-2,7597;-1,0978;-0,0447;-0,0953;0,3658;0,9248
3,181;-2,7589;-1,1602;-0,0706;-0,0981;0,3543;0,9193
3,228;-2,758;-1,1904;-0,0841;-0,0996;0,3485;0,9163
3,887;-2,7244;-1,3531;-0,2395;-0,1247;0,2888;0,8734
3,945;-2,72;-1,3582;-0,2498;-0,1272;0,2853;0,8696
5,162;-2,6018;-1,4133;-0,3649;-0,1974;0,2534;0,7894
5,475;-2,5681;-1,4198;-0,3786;-0,2218;0,2515;0,769
5,562;-2,5571;-1,4212;-0,3821;-0,2291;0,2511;0,7633
5,989;-2,5044;-1,426;-0,3989;-0,2686;0,2476;0,7357
6,165;-2,4834;-1,427;-0,4059;-0,2859;0,2451;0,7245
6,357;-2,4609;-1,4273;-0,4139;-0,3053;0,2414;0,7123
7,244;-2,3657;-1,4207;-0,4531;-0,3926;0,2155;0,658
8,661;-2,2605;-1,4057;-0,5222;-0,4946;0,1679;0,5827
8,869;-2,2493;-1,4061;-0,533;-0,5044;0,1618;0,5736
8,929;-2,2462;-1,4065;-0,5361;-0,507;0,1601;0,5711
9,227;-2,2312;-1,4095;-0,552;-0,5182;0,1521;0,5596
10,185;-2,1841;-1,4263;-0,6016;-0,5368;0,131;0,534
10,255;-2,1805;-1,4274;-0,6048;-0,5372;0,1298;0,533
10,651;-2,1589;-1,4321;-0,6213;-0,5374;0,1234;0,559
11,279;-2,1186;-1,4301;-0,6382;-0,5319;0,1153;0,4381
11,342;-2,114;-1,429;-0,6392;-0,531;0,1146;0,4371
11,419;-2,1081;-1,4274;-0,6401;-0,5299;0,1138;0,4359
12,334;-2,0262;-1,3925;-0,6393;-0,5116;0,106;0,4224
13,399;-1,9285;-1,3335;-0,6243;-0,4831;0,1004;0,4087
13,682;-1,9076;-1,3185;-0,6202;-0,4747;0,0994;0,4054
13,854;-1,8958;-1,3099;-0,618;-0,4695;0,0989;0,4034
15,591;-1,7941;-1,2447;-0,6051;-0,4158;0,0967;0,3844
16,085;-1,7624;-1,2294;-0,6012;-0,401;0,0968;0,3794
16,471;-1,7362;-1,2174;-0,5969;-0,3899;0,0972;0,3756
17,783;-1,6485;-1,1763;-0,5723;-0,356;0,0993;0,3631
18,594;-1,6023;-1,1517;-0,557;-0,3393;0,1013;0,3557
18,656;-1,599;-1,1499;-0,5561;-0,3382;0,1015;0,3552
18,877;-1,5876;-1,1435;-0,553;-0,3345;0,1021;0,3532
18,948;-1,584;-1,1415;-0,5522;-0,3334;0,1023;0,3526
20,185;-1,5255;-1,1107;-0,5463;-0,3181;0,1062;0,3419
21;-1,4903;-1,0966;-0,5499;-0,3122;0,1091;0,3351
21,495;-1,4706;-1,0909;-0,5545;-0,3099;0,1108;0,331
22,484;-1,4364;-1,0851;-0,5688;-0,3074;0,1143;0,3231
23,617;-1,4062;-1,0868;-0,592;-0,3071;0,1181;0,3143
24,011;-1,3978;-1,0894;-0,6011;-0,3074;0,1194;0,3114
24,994;-1,3814;-1,0989;-0,6249;-0,3079;0,1222;0,304
26,131;-1,3689;-1,1108;-0,6511;-0,307;0,1248;0,2958
